Packet number,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
57,0.8125,0,-0.75,-0.05810547,0.02685547,0.9868164,0.02539063,0.1967773,-0.6806641
58,0.4375,-0.1875,-0.125,-0.03857422,0.03076172,0.9750977,0.02539063,0.1967773,-0.6806641
59,0.5625,-0.25,0,-0.04638672,0.03076172,0.9711914,0.02685547,0.190918,-0.6875
60,0.9375,0.125,-0.3125,-0.03857422,0.03857422,0.9555664,0.02685547,0.190918,-0.6875
61,1,-0.1875,-0.9375,-0.05029297,0.01513672,0.9672852,0.02685547,0.190918,-0.6875
62,1.0625,0.4375,-0.625,-0.05029297,0.05810547,0.9399414,0.0234375,0.1918945,-0.6835938
63,0.75,0.1875,-0.875,-0.04248047,0.05029297,0.9711914,0.0234375,0.1918945,-0.6835938
64,0.125,0.5625,-0.625,-0.05029297,0.03857422,0.9750977,0.0234375,0.1918945,-0.6835938
65,0.5,1.1875,0,-0.06591797,0.02294922,0.9829102,0.02197266,0.1967773,-0.6850586
66,0.75,0.875,-0.6875,-0.05419922,0.03466797,0.9711914,0.02197266,0.1967773,-0.6850586
67,0.9375,0.6875,-1.1875,-0.04638672,0.02685547,0.9829102,0.02197266,0.1967773,-0.6850586
68,1.0625,-0.0625,-0.5625,-0.05810547,0.02685547,0.9711914,0.02197266,0.1967773,-0.6850586
69,0.4375,0.5625,-0.375,-0.05810547,0.04248047,0.9829102,0.02197266,0.1967773,-0.6850586
70,0.3125,0,-0.125,-0.05810547,0.04248047,0.9985352,0.02197266,0.1967773,-0.6850586
71,0.6875,0,-0.75,-0.04248047,0.03076172,0.9672852,0.02197266,0.1967773,-0.6850586
72,0.3125,0.625,-0.375,-0.05419922,0.03076172,0.9790039,0.0234375,0.1967773,-0.6918945
73,0.5625,0.375,-0.4375,-0.05029297,0.03076172,0.9829102,0.0234375,0.1967773,-0.6918945
74,0.25,-0.4375,-0.5625,-0.05810547,0.03076172,0.9711914,0.0234375,0.1967773,-0.6918945
75,0.375,0,-0.625,-0.05029297,0.04638672,0.9516602,0.02197266,0.2011719,-0.6962891
76,0.6875,0,-1.0625,-0.05029297,0.03857422,0.9594727,0.02197266,0.2011719,-0.6962891
77,0,-0.4375,-0.75,-0.06201172,0.04248047,0.9672852,0.02197266,0.2011719,-0.6962891
78,0.75,-0.25,-0.4375,-0.05810547,0.03466797,0.9829102,0.02197266,0.2011719,-0.6962891
79,-0.0625,-0.375,-0.5,-0.03857422,0.02685547,0.9672852,0.02197266,0.2011719,-0.6962891
80,-0.1875,-0.375,-0.3125,-0.05419922,0.03466797,0.9907227,0.02197266,0.2011719,-0.6962891
81,0.375,-0.4375,-1.0625,-0.05810547,0.03076172,0.9711914,0.02197266,0.2011719,-0.6962891
82,-0.125,-0.25,0.0625,-0.04638672,0.02685547,0.9594727,0.02441406,0.1977539,-0.6918945
83,-0.1875,-0.375,-0.5,-0.05810547,0.03466797,0.9555664,0.02441406,0.1977539,-0.6918945
84,-0.0625,-0.625,-0.5,-0.05810547,0.01513672,0.9633789,0.02441406,0.1977539,-0.6918945
85,0.375,-0.4375,-0.4375,-0.04638672,0.04638672,0.9829102,0.02441406,0.1918945,-0.6850586
86,0.5,-0.8125,-0.3125,-0.05419922,0.03076172,0.9868164,0.02441406,0.1918945,-0.6850586
87,0,-0.25,-0.5625,-0.05029297,0.05029297,0.9868164,0.02441406,0.1918945,-0.6850586
