Packet number,Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g)
121,0.042766483,0.179911874,9.687185329
123,0.022441636,0.26166255,9.697201464
124,0.002383336,0.169636893,9.667050925
126,-0.019736503,-0.022382811,9.722432714
127,0.080867643,0.177805512,9.650669653
129,-0.070731366,0.114839056,9.624108633
130,0.148367269,0.212123464,9.71295213
132,0.026444938,0.113737477,9.604694392
133,0.106814187,0.295762895,9.723750861
135,0.030196102,0.208705924,9.692467255
136,0.120102782,0.259963241,9.756387203
138,0.119486921,0.180554767,9.592470503
139,0.097384003,0.34861857,9.709486822
141,0.105427357,0.287537314,9.683256825
142,0.048168299,0.459718481,9.820460367
144,0.073129038,0.304421892,9.724776375
145,0.13615908,0.508638147,9.692381133
147,0.147893574,0.388424956,9.658747219
148,0.20532574,0.661023976,9.712379824
150,-0.009494319,0.492613053,9.654211466
151,0.129434896,0.67707584,9.774725304
153,0.03869557,0.63411797,9.751278997
154,0.130343433,0.592947414,9.708720639
156,0.107256628,0.766009537,9.867484836
157,0.075616724,0.715506913,9.766731816
159,0.117520863,0.840334802,9.726692698
160,0.155863718,0.908073647,9.67967052
162,0.203947706,1.110057287,9.76721739
163,0.240043056,1.115286836,9.731933141
165,0.256639142,1.016287195,9.60605465
166,0.104650271,0.873619278,9.628573782
168,0.101375913,1.1834573,9.867597614
169,0.15439613,1.424270525,9.943248743
171,0.225484108,1.218150295,9.783426237
172,0.274537794,0.967375084,9.656745968
174,0.118559307,0.882513533,9.668003838
175,0.018953556,0.967733999,9.683313247
177,0.051366475,1.199923393,9.855895164
178,0.231341998,1.256967527,9.92640773
180,0.248047909,1.187268287,9.74546653
181,0.219429979,1.133000515,9.626323332
183,0.212667507,0.979589137,9.761923608
184,-0.012537214,0.945566045,9.7991404
186,-0.029010661,1.250942145,9.927752524
187,-0.114959982,1.212546781,9.846868239
189,0.140389193,1.021648056,9.645768061
190,0.308339167,0.967263045,9.679718787
192,0.320152887,0.999555032,9.728233657
193,0.055273096,1.160763639,9.83558502
195,-0.012532169,1.446269777,9.886832432
197,-0.047340274,1.365890558,9.956005212
199,0.206802817,1.242983923,9.82401571
200,0.460674798,1.325483211,9.765144675
202,0.355537149,1.27992159,9.82095354
203,-0.015292488,1.365291338,9.879916582
205,-0.063469683,1.361154839,9.845851273
206,0.108644202,1.198121741,9.822091539
208,0.268120063,1.087402562,9.827579779
209,0.32307298,1.242978514,9.900294226
211,0.110597648,1.153797314,9.888277173
212,0.057382548,1.257323531,10.03009645
214,0.112173808,1.156747561,9.899150881
215,0.140866929,1.237080026,9.782428647
217,0.131181301,1.352041676,9.927088227
218,0.119061984,1.024703324,9.889674124
220,0.249565189,1.211607016,9.931365213
221,0.250597628,1.055595936,9.651097926
223,0.287696554,1.452562547,10.02742998
224,0.196479947,1.195539011,9.923364238
226,0.318693404,1.223353883,9.894912464
227,0.339630224,1.554819239,10.02547108
229,0.047254697,1.147404272,9.96714171
230,-0.038228175,1.335927881,10.08994566
232,0.080781337,1.392258928,10.04744974
233,0.21280841,1.200629184,9.836206377
235,0.431259364,1.188038244,9.917614227
236,0.269242863,0.7762162,9.599310886
238,0.122545889,1.033220424,9.93231416
239,-0.244957995,0.80686222,9.926767717
241,0.006451734,0.834886842,9.721306162
242,0.254444132,0.826443848,9.782530088
244,0.325328929,0.862001932,9.933254787
245,-0.077613688,0.867555705,10.1545986
247,-0.073040008,1.048530827,9.90456477
248,-0.105991575,1.053908823,9.948602057
250,0.176274027,0.759745278,9.889186928
251,0.314662333,0.32755285,9.855439939
253,0.325062942,0.500969735,9.740590039
254,0.274136798,0.589181457,9.625051343
256,0.052240304,0.437210996,9.710783474
257,0.028903195,0.576497253,9.924086689
259,0.039050202,0.500035163,10.04581991
260,0.216585273,0.50224434,9.993209587
262,0.252308379,0.386958099,9.909706498
263,0.276681203,0.43671426,9.727258325
265,0.209770955,0.424893283,9.725288352
266,-0.077619306,-0.020070877,9.618866852
268,-0.007029551,0.388818502,10.03614737
269,-0.014650925,0.286450476,9.698010422
271,0.169748153,0.639789893,9.708179104
272,0.134506965,0.695200995,10.10061253
274,-0.130430399,0.248906339,9.953873032
275,0.176183258,0.542253843,9.97020736
277,0.248778333,0.50926027,9.86574036
278,0.270653696,0.515073933,9.949051709
280,0.11366409,0.506065695,9.811305675
281,0.036919387,0.61767489,9.940090074
283,-0.033272023,0.727340089,10.148076
284,-0.014580772,0.519713615,9.961599382
286,0.165063916,0.186437838,9.861306829
287,0.454991974,0.128111928,10.00869771
289,0.235309197,-0.304714907,9.879630232
290,-0.048561384,0.084741977,9.938349582
292,-0.362713407,0.374890332,10.18821922
294,0.059039754,0.519976121,10.15184473
296,0.317741127,0.514429107,10.21248118
297,0.204516726,0.015334122,10.0267955
299,-0.081780088,-0.057429479,9.650420019
300,-0.32618888,0.242425016,9.605494865
302,-0.484149515,0.446800658,9.677866527
303,-0.203380663,0.133278904,9.721456308
305,0.334434443,0.627787385,10.03360712
306,0.479191953,0.119314395,9.627915515
308,0.176664071,-0.187981519,9.407405362
309,-0.431768921,-0.105240356,9.818780641
311,-0.311099001,-0.113200722,9.95869178
312,0.165366925,0.084769024,10.07565927
314,0.556904734,-0.022342573,10.01460232
315,0.444499157,-0.484741164,9.556909166
317,-0.106533395,-0.173165355,9.648718674
318,-0.36747152,-0.02094522,9.923549939
320,-0.398972247,0.450274459,10.34496802
321,0.247788834,0.494784718,9.91176046
323,0.415268254,-0.141858326,9.627437239
324,0.361676457,-0.3380426,9.775141462
326,-0.197743445,-0.205048927,9.98096446
327,-0.551903045,0.243492644,9.914624613
329,-0.258484271,0.157005242,9.736950465
330,0.174609836,-0.072656856,9.682843115
332,0.590041668,-0.45806234,9.589063744
333,0.107411842,-0.713951374,9.456986872
335,-0.363123592,-0.113469923,9.824790698
336,-0.552819413,0.36581479,10.20521782
338,-0.137431085,0.293530675,10.09349843
339,0.230419082,-0.251968051,9.836466476
341,0.552015544,-0.753441587,9.451240666
342,0.152977078,-0.425850054,9.450869191
344,-0.303510283,0.311413713,9.912098319
345,-0.243517119,0.317023862,9.914999851
347,0.236474326,-0.330788821,9.774717407
348,0.542952219,-0.856308426,9.68288469
350,0.305743427,-0.053936335,10.10647693
351,-0.172489317,0.087691026,9.895585188
353,-0.599340595,0.365111499,10.05671873
354,-0.58523194,-0.280863276,9.573965519
356,-0.171946282,-0.158431295,9.753445561
357,0.156980058,-0.017669182,9.795893355
359,-0.125055885,0.172735855,9.761266396
360,-0.050390842,-0.181155908,9.433049452
362,0.098977818,0.397068859,9.92480312
363,0.200173228,0.076221374,10.121343
365,0.031122276,-0.555023757,9.577992022
366,-0.054751526,0.187449645,9.791792875
368,-0.046596095,0.367352187,9.85919121
369,-0.006686728,-0.080062135,9.762852129
371,0.170237225,-0.19180851,9.876228151
372,0.452158994,-0.057309106,10.13466908
374,0.249958039,-0.208666347,9.794339648
375,0.121963759,-0.174641283,9.603385414
377,0.154907017,0.184289298,9.81762894
378,0.200115639,0.13308083,9.824699561
380,0.145332457,-0.656070569,9.636141391
381,0.072244475,-1.20648232,9.410514092
383,0.134192699,-0.363067505,10.0086909
384,-0.27751085,-0.322936745,9.927598169
386,-0.314382373,-0.581154212,9.897159628
387,-0.084226251,-0.519610862,9.799220537
389,0.212810864,-0.243000727,9.915872933
392,0.208709887,-0.749808715,9.426556013
394,0.032703985,-0.690940251,9.237662953
395,0.221877835,0.133530375,9.868916961
397,0.149885982,-0.376175214,9.716571951
398,-0.02666331,-0.733789216,9.541126458
400,-0.072129268,-0.034838901,9.916704195
401,0.060725438,-0.128009559,9.735643516
403,0.180086708,-0.76808776,9.415490354
404,0.277835427,-0.616890272,9.61397934
406,0.163468222,-0.129857503,9.872372576
407,-0.042262301,-0.632813359,9.581456004
